Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0
