Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;ValorBruto;ValorPorM2;ValorBrutoPorM2;TipoAgregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;2260.0;42.5;56.5;Apartamento
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;7000.0;70.0;70.0;Casa
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1210.0;53.333333333333336;80.66666666666667;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;16.666666666666668;21.458333333333332;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1618.0;26.0;32.36;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;22000.0;29.333333333333332;29.333333333333332;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;1000.0;15.384615384615385;15.384615384615385;Casa
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2216.0;21.428571428571427;31.65714285714286;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1969.0;16.666666666666668;21.877777777777776;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;50.0;65.275;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;2301.0;66.66666666666667;85.22222222222223;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;15803.0;53.49794238683128;65.03292181069959;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;2000.0;17.391304347826086;17.391304347826086;Casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1278.0;17.59259259259259;23.666666666666668;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;25.37313432835821;36.35820895522388;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;17.272727272727273;24.89090909090909;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;10195.0;16.09442060085837;21.877682403433475;Casa
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;1670.0;14.705882352941176;24.558823529411764;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;25.641025641025642;34.61538461538461;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;56.0;76.504;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;15.625;32.229166666666664;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;24.0;35.42857142857143;Apartamento
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;12000.0;30.0;30.0;Casa
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;32.89473684210526;42.63157894736842;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;12850.0;26.455026455026456;33.99470899470899;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;30.555555555555557;42.77777777777778;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;2948.0;21.904761904761905;28.076190476190476;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;35.45454545454545;50.18181818181818;Apartamento
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;1733.0;48.148148148148145;64.18518518518519;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5776.0;17.5;28.88;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;25.714285714285715;43.357142857142854;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;20.491803278688526;47.540983606557376;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;40.90909090909091;63.18181818181818;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;4340.0;33.333333333333336;48.22222222222222;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;2980.0;26.0;29.8;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;32.638888888888886;41.94444444444444;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6800.0;22.22222222222222;37.77777777777778;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3340.0;25.0;36.30434782608695;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1140.0;27.77777777777778;42.22222222222222;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2725.0;57.142857142857146;77.85714285714286;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;2007.0;36.8421052631579;52.81578947368421;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;2917.0;19.27710843373494;35.144578313253014;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;26600.0;15.625;16.625;Casa
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;9234.0;42.48366013071895;60.35294117647059;Apartamento
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;21500.0;67.41573033707866;80.52434456928839;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4722.0;36.7816091954023;54.275862068965516;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2474.0;17.22222222222222;27.488888888888887;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1813.0;26.41509433962264;34.20754716981132;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7644.0;55.092592592592595;70.77777777777777;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2482.0;20.930232558139537;28.86046511627907;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2725.0;25.0;36.82432432432432;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2554.0;25.675675675675677;34.513513513513516;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;10400.0;53.333333333333336;69.33333333333333;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;11300.0;56.42857142857143;80.71428571428571;Apartamento
Casa;Méier;2;0;0;51;1500.0;50.0;0.0;1550.0;29.41176470588235;30.392156862745097;Casa
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;5170.0;42.10526315789474;54.421052631578945;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1660.0;16.666666666666668;27.666666666666668;Apartamento
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;42000.0;38.35616438356164;57.534246575342465;Casa
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;3700.0;17.857142857142858;26.428571428571427;Casa
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4735.0;43.75;59.1875;Apartamento
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;18540.0;52.916666666666664;77.25;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;4370.0;25.0;42.01923076923077;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1094.0;17.77777777777778;24.31111111111111;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3578.0;40.0;51.114285714285714;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;6042.0;30.681818181818183;68.6590909090909;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;2540.0;29.72972972972973;68.64864864864865;Apartamento
