Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;ValorBruto;ValorPorM2;ValorBrutoPorM2;TipoAgregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;2260.0;42.5;56.5;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;2301.0;66.66666666666667;85.22222222222223;Apartamento
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;1733.0;48.148148148148145;64.18518518518519;Apartamento
Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;1305.0;26.66666666666667;43.5;Apartamento
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;1634.0;35.714285714285715;58.35714285714285;Apartamento
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;1660.0;41.379310344827594;57.24137931034482;Apartamento
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;1910.0;87.5;119.375;Apartamento
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;1228.0;35.0;61.4;Apartamento
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;1116.0;25.0;39.857142857142854;Apartamento
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0;1562.0;43.47826086956522;67.91304347826087;Apartamento
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;1478.0;30.0;44.78787878787879;Apartamento
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0;1791.0;53.846153846153854;68.88461538461539;Apartamento
Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0;1700.0;43.33333333333334;56.66666666666666;Apartamento
Quitinete;Leblon;1;0;0;30;1700.0;560.0;62.0;2322.0;56.66666666666666;77.4;Apartamento
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;0.0;1700.0;73.33333333333333;113.33333333333331;Apartamento
Quitinete;Leblon;1;0;0;25;1950.0;360.0;58.0;2368.0;78.0;94.72;Apartamento
Quitinete;Copacabana;1;0;0;35;1700.0;400.0;55.0;2155.0;48.57142857142857;61.57142857142857;Apartamento
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0;1200.0;32.69230769230769;46.153846153846146;Apartamento
Quitinete;Gardênia Azul;1;0;0;20;485.0;0.0;0.0;485.0;24.25;24.25;Apartamento
Quitinete;Centro;1;0;1;15;750.0;0.0;0.0;750.0;50.0;50.0;Apartamento
Quitinete;Copacabana;1;0;0;25;1200.0;318.0;0.0;1518.0;48.0;60.72;Apartamento
Quitinete;Copacabana;1;0;0;38;1800.0;500.0;100.0;2400.0;47.368421052631575;63.157894736842096;Apartamento
Quitinete;Copacabana;1;0;0;30;1150.0;450.0;30.0;1630.0;38.333333333333336;54.33333333333334;Apartamento
Quitinete;Copacabana;1;0;0;28;1500.0;450.0;0.0;1950.0;53.57142857142857;69.64285714285714;Apartamento
Quitinete;Copacabana;1;0;0;15;800.0;305.0;24.0;1129.0;53.33333333333334;75.26666666666667;Apartamento
Quitinete;Glória;1;0;0;20;850.0;495.0;0.0;1345.0;42.5;67.25;Apartamento
Quitinete;Copacabana;1;0;0;30;1600.0;550.0;71.0;2221.0;53.33333333333334;74.03333333333333;Apartamento
